# chapter	claim id	claim as made in prose	source	status
# Sources live in resources/sources/05/. Progress KB articles were recovered from archived copies of Progress's Salesforce article data; MDL Order 22 recites allegations, not findings.
05	05-first-advisory	On 31 May 2023 Progress warned MOVEit Transfer customers and posted fixes for supported versions	progress-kb-advisory-2023-05-31-cve-2023-34362.txt, 1 June capture and Revision History	checked-by:codex:2026-09-03
05	05-theft-before-advisory	Earliest exploitation evidence was 27 May 2023, and data sometimes left within minutes of web-shell deployment	mandiant-2023-06-02.txt, opening incident summary	checked-by:codex:2026-09-03
05	05-lede-code-shape	The input route was through session state, and the vulnerable lookup escaped one use of the email address but not another	rapid7-analysis-cve-2023-34362.txt, header-to-session narrative and published diff	checked-by:codex:2026-09-03
05	05-three-advisories	The first patch changed the vulnerable function; SQL-injection advisories followed on 9 and 15 June	rapid7-analysis-cve-2023-34362.txt, published diff; progress-kb-advisory-2023-06-09-cve-2023-35036.txt; progress-kb-advisory-2023-06-15-cve-2023-35708.txt	checked-by:codex:2026-09-03
05	05-folk-techcrunch	TechCrunch framed the event as a zero-day that let Clop raid MOVEit servers and steal customer data	techcrunch-2023-08-25.txt	checked-by:codex:2026-09-03
05	05-folk-techtarget	TechTarget called CVE-2023-34362 a critical SQL-injection flaw and said instances were already under attack when Progress patched	techtarget-2023-09-26.txt	checked-by:codex:2026-09-03
05	05-spokesperson-techtarget	A Progress spokesperson described a sophisticated multi-stage zero-day attack and said the 31 May patch fixed the issue	techtarget-2023-09-26.txt, Progress spokesperson quotation	checked-by:codex:2026-09-03
05	05-spokesperson-provenance	The quoted fixed-the-issue statement is carried by TechTarget rather than a Progress filing	techtarget-2023-09-26.txt, Progress spokesperson quotation; progress-8k-2023-06-05.txt	checked-by:codex:2026-09-03
05	05-mandiant-may27	Mandiant placed the earliest exploitation evidence on 27 May 2023	mandiant-2023-06-02.txt, opening incident summary	checked-by:codex:2026-09-03
05	05-progress-8k-timeline	Progress received a support call on 28 May, contacted customers and took MOVEit Cloud down on 30 May, then patched and restored cloud service on 31 May	progress-8k-2023-06-05.txt, Item 8.01	checked-by:codex:2026-09-03
05	05-kb-first-state	The earliest archived 31 May advisory told customers to block web traffic, inspect thirty days, and said SFTP and FTP/S would continue	progress-kb-advisory-2023-05-31-cve-2023-34362.txt, Wayback capture 2023-06-01	checked-by:codex:2026-09-03
05	05-kb-revision-cve	Progress's revision history says supported fixes were posted 31 May; by 2 June the article named CVE-2023-34362 and described unauthenticated database access through SQL injection	progress-kb-advisory-2023-05-31-cve-2023-34362.txt, Wayback capture 2023-06-07	checked-by:codex:2026-09-03
05	05-kev-entry	CISA added CVE-2023-34362 to KEV on 2 June 2023 and marked ransomware campaign use known	cve-nvd-kev-records.txt, CISA KEV entry	checked-by:codex:2026-09-03
05	05-cisa-campaign	CISA/FBI attributed the 27 May start to open-source information and described Clop exploiting the previously unknown flaw	cisa-fbi-aa23-158a.txt, re-fetch passage	checked-by:codex:2026-09-03
05	05-cisa-lemurloot	CISA/FBI said the SQL-injection zero-day was used to install the LEMURLOOT web shell	cisa-fbi-aa23-158a.txt, summary and re-fetch passage	checked-by:codex:2026-09-03
05	05-mandiant-attribution	Mandiant observed some theft within minutes, described the campaign as seemingly opportunistic, and merged UNC4857 into FIN11 based on overlaps	mandiant-2023-06-02.txt, update and opening incident summary	checked-by:codex:2026-09-03
05	05-exposed-instances	Rapid7 counted roughly 2,500 exposed MOVEit instances on 31 May; Huntress cited a Shodan result above 2,500	rapid7-2023-06-01.txt; huntress-2023-06-01.txt	checked-by:codex:2026-09-03
05	05-third-party-share	Emsisoft told TechTarget that 1,690 of 2,098 then-known victim organizations were compromised through third parties	techtarget-2023-09-26.txt, Callow quotation	checked-by:codex:2026-09-03
05	05-genworth-indirect	Genworth reported 2.5 to 2.7 million policyholders affected through vendor PBI and said it did not itself use MOVEit	genworth-8k-2023-06-22.txt, Item 8.01	checked-by:codex:2026-09-03
05	05-emsisoft-method	Emsisoft's June 2024 tally was 2,773 organizations and 95,788,491 individuals, with overlap it could not account for	emsisoft-tally.txt, tally and method note	checked-by:codex:2026-09-03
05	05-konbriefing-method	KonBriefing says its sum is people records rather than distinct people and counts multiply affected people more than once	konbriefing-tally.txt, methodology notes	checked-by:codex:2026-09-03
05	05-rapid7-two-functions	Rapid7 decompiled and diffed builds and found the first patch removed SetAllSessionVarsFromHeaders and rebuilt UserGetUsersWithEmailAddress	rapid7-analysis-cve-2023-34362.txt, first-patch analysis and published diff	checked-by:codex:2026-09-03
05	05-rapid7-session-route	Rapid7 found the removed function read X-siLock-SessVar pairs; logs and decompiled calls traced machine2.aspx loading session state and guestaccess.aspx reaching the vulnerable lookup	rapid7-analysis-cve-2023-34362.txt, header-to-session analysis and guestaccess call path	checked-by:codex:2026-09-03
05	05-june9-review	Progress's 9 June update said third-party review found distinct flaws; the advisory credits Huntress and assigns multiple SQL injections to CVE-2023-35036	progress-security-page-2023-08-02-wayback.txt, 9 June; progress-kb-advisory-2023-06-09-cve-2023-35036.txt	checked-by:codex:2026-09-03
05	05-june15-advisory	Progress patched CVE-2023-35708 on 15 June after public posting and reported no evidence of exploitation	progress-security-page-2023-08-02-wayback.txt, 15–18 June; progress-kb-advisory-2023-06-15-cve-2023-35708.txt	checked-by:codex:2026-09-03
05	05-july-service-pack	The July service pack added unauthenticated SQLi CVE-2023-36934 and authenticated SQLi CVE-2023-36932	progress-kb-service-pack-2023-07-06-three-cves.txt, Vulnerability Descriptions	checked-by:codex:2026-09-03
05	05-five-sqli-cves	Five SQL-injection CVE identifiers were patched over five weeks, and only CVE-2023-34362 is recorded in the saved sources as exploited before patching	progress-kb-advisory-2023-05-31-cve-2023-34362.txt; progress-kb-advisory-2023-06-09-cve-2023-35036.txt; progress-kb-advisory-2023-06-15-cve-2023-35708.txt; progress-kb-service-pack-2023-07-06-three-cves.txt; progress-10q-2023-10-10.txt	checked-by:codex:2026-09-03
05	05-progress-litigation-counts	Progress reported about 118 class actions and three formal government investigations in its January 2024 10-K	progress-10k-2024-01-26.txt, Note 19 and risk factor	checked-by:codex:2026-09-03
05	05-sec-no-action	Progress reported in August 2024 that the SEC did not intend to recommend an enforcement action at that time	progress-8k-2024-08-07.txt	checked-by:codex:2026-09-03
05	05-mdl-order-status	MDL Order 22 allowed some claims to proceed under Rule 12(b)(6), expressly treating the account as plaintiffs' allegations rather than findings	mdl-order-22-2025-07-31.txt, opening and persistent-SQLi discussion	checked-by:codex:2026-09-03
05	05-diff-old-arguments	The old UserGetUsersWithEmailAddress format array held both an escaped email argument and the raw email argument	rapid7-analysis-cve-2023-34362.txt, published UserGetUsersWithEmailAddress diff	checked-by:codex:2026-09-03
05	05-diff-clause-mismatch	The pre-patch LIKE branches used escaped argument 1 while the equality clause Email='{2}' used raw argument 2	rapid7-analysis-cve-2023-34362.txt, published UserGetUsersWithEmailAddress diff	checked-by:codex:2026-09-03
05	05-rapid7-naive-failed	Rapid7 said naive attempts failed because the arguments on initially traced paths were escaped; session state led to the unescaped use	rapid7-analysis-cve-2023-34362.txt, narrative around query and guestaccess path	checked-by:codex:2026-09-03
05	05-diff-new-builder	The patched function used SQLBasicBuilder, named parameters, and passed query plus parameter collection to DoReadQuery	rapid7-analysis-cve-2023-34362.txt, published UserGetUsersWithEmailAddress diff	checked-by:codex:2026-09-03
05	05-diff-call-boundary	The old DoReadQuery call received a completed SQL string; the patched call received generated query text and a parameter collection	rapid7-analysis-cve-2023-34362.txt, published UserGetUsersWithEmailAddress diff	checked-by:codex:2026-09-03
05	05-rapid7-call-path	Rapid7 traced session-loaded package data through four application calls to UserGetUsersWithEmailAddress	rapid7-analysis-cve-2023-34362.txt, guestaccess call-path narrative	checked-by:codex:2026-09-03
05	05-patch-parameterization	Rapid7's first-patch diff replaced string formatting with SQLBasicBuilder, four named bindings, and a query-plus-parameters read call	rapid7-analysis-cve-2023-34362.txt, published UserGetUsersWithEmailAddress diff	checked-by:codex:2026-09-03
05	05-defense-two-changes	The first patch both parameterized the vulnerable lookup and removed the function that copied special headers into session state	rapid7-analysis-cve-2023-34362.txt, first-patch analysis and published diff	checked-by:codex:2026-09-03
05	05-progress-later-not-exploited	Progress said outside scrutiny produced additional findings and prompt patches, with no evidence of exploitation before those patches	progress-10q-2023-10-10.txt, Recent Developments	checked-by:codex:2026-09-03
05	05-cisa-sbd-context	CISA/FBI said its March 2024 alert responded to a publicized campaign against SQLi in a managed file-transfer application affecting thousands, without naming the product	cisa-fbi-secure-by-design-sqli-2024-03.txt, first page	checked-by:codex:2026-09-03
05	05-cisa-sbd-history	CISA/FBI noted MySQL prepared statements in 2004 and others' treatment of SQLi as unforgivable since at least 2007	cisa-fbi-secure-by-design-sqli-2024-03.txt, first page and footnotes	checked-by:codex:2026-09-03
05	05-cisa-sbd-controls	CISA/FBI recommended safe-by-default libraries, pull-request checks, and formal executive-sponsored code reviews	cisa-fbi-secure-by-design-sqli-2024-03.txt, Principle 1	checked-by:codex:2026-09-03
05	05-progress-third-party-review	Progress said third-party code reviews, including Huntress's work, found additional vulnerabilities disclosed on 9 June	progress-security-page-2023-08-02-wayback.txt, 9 June update	checked-by:codex:2026-09-03
05	05-service-pack-program	Progress announced a roughly two-month service-pack cadence in July and said the first pack fixed three new CVEs	progress-security-page-2023-08-02-wayback.txt, 5 July update	checked-by:codex:2026-09-03
05	05-no-telemetry	Progress said on-premises MOVEit Transfer provides no continuing telemetry on version, file activity, or patch status	progress-10q-2023-10-10.txt, Recent Developments	checked-by:codex:2026-09-03
05	05-defense-record-center	Rapid7's published diff shows one vulnerable function move from completed SQL-string construction to bound parameters	rapid7-analysis-cve-2023-34362.txt, published UserGetUsersWithEmailAddress diff	checked-by:codex:2026-09-03
05	05-ledger-one	The zero-day SQL-injection label is supported by Progress's advisory, CVE/NVD/KEV records, and Rapid7's first-patch diff	progress-kb-advisory-2023-05-31-cve-2023-34362.txt; cve-nvd-kev-records.txt; rapid7-analysis-cve-2023-34362.txt	checked-by:codex:2026-09-03
05	05-ledger-two	Exploitation and some theft preceded Progress's 31 May patch; the response timeline runs from 27 to 31 May	mandiant-2023-06-02.txt; progress-8k-2023-06-05.txt	checked-by:codex:2026-09-03
05	05-ledger-five	TechTarget names the exploited CVE-2023-34362 but omits four later SQL-injection CVE identifiers that Progress patched over the next five weeks	techtarget-2023-09-26.txt; progress-security-page-2023-08-02-wayback.txt; progress-kb-advisory-2023-06-09-cve-2023-35036.txt; progress-kb-advisory-2023-06-15-cve-2023-35708.txt; progress-kb-service-pack-2023-07-06-three-cves.txt	checked-by:codex:2026-09-03
05	05-ledger-six	Victim totals derive from an overlap-prone compilation, include records rather than deduplicated people, and mostly included third-party organizations at the cited point	emsisoft-tally.txt; konbriefing-tally.txt; techtarget-2023-09-26.txt; genworth-8k-2023-06-22.txt	checked-by:codex:2026-09-03
05	05-ledger-seven	The 31 May patch fixed CVE-2023-34362, while further parts of the chain and surrounding code were patched in June and July	rapid7-analysis-cve-2023-34362.txt; progress-security-page-2023-08-02-wayback.txt; progress-kb-service-pack-2023-07-06-three-cves.txt	checked-by:codex:2026-09-03
05	05-ledger-eight	Order 22 treated the alleged persistent SQLi as sufficient at pleading stage, not proven; Order 27 denied reconsideration	mdl-order-22-2025-07-31.txt; mdl-order-27-2025.txt	checked-by:codex:2026-09-03
