# chapter	claim id	claim	source	status
10	10-apple-ship-date	Apple shipped the fix on 21 Feb 2014 in iOS 7.0.6, iOS 6.1.6 and OS X 10.9.2	Langley, ImperialViolet 22 Feb 2014 ('Yesterday, Apple pushed...'; update para on 6.1.6); CVE-2014-1266 datePublished 2014-02-22; Wheeler 'On 2014-02-21'	checked-by:fable:2026-09-01
10	10-apple-note-text	Apple's note: 'An attacker with a privileged network position may capture or modify data in sessions protected by SSL/TLS' / 'Secure Transport failed to validate the authenticity of the connection. This issue was addressed by restoring missing validation steps.'	Apple HT6147 (iOS 7.0.6), identical text in HT6146 and HT6150; resources/sources/10/apple-security-notes.txt	checked-by:fable:2026-09-01
10	10-cve-desc	CVE-2014-1266 description: SSLVerifySignedServerKeyExchange 'does not check the signature in a TLS Server Key Exchange message, which allows man-in-the-middle attackers to spoof SSL servers by (1) using an arbitrary private key for the signing step or (2) omitting the signing step'	https://cveawg.mitre.org/api/cve/CVE-2014-1266; resources/sources/10/cve-2014-1266.txt	checked-by:fable:2026-09-01
10	10-langley-post	Langley's post of 22 Feb 2014 quoted the code from Apple's published source and said 'the signature verification will never fail'	Langley, ImperialViolet 22 Feb 2014, paras 2-4	checked-by:fable:2026-09-01
10	10-code-lines	Lines 623-633 of sslKeyExchange.c at Security-55471 read as quoted (two consecutive 'goto fail;' at 630-631)	apple-oss-distributions/Security tag Security-55471, libsecurity_ssl/lib/sslKeyExchange.c; resources/sources/10/apple-sslKeyExchange-55471.txt	checked-by:fable:2026-09-01
10	10-fail-label	The fail: label (lines 647-650) frees two buffers and returns err	same file, lines 647-650	checked-by:fable:2026-09-01
10	10-diff-one-line	Security-55471.14 differs from Security-55471 in this file by exactly one deleted line, line 631	unified diff in resources/sources/10/apple-sslKeyExchange-55471.txt	checked-by:fable:2026-09-01
10	10-skx-meaning	The function checks the signature on the ServerKeyExchange message, used by DHE and ECDHE suites to carry the ephemeral key	Langley 22 Feb 2014 para 5; CVE-2014-1266 description	checked-by:fable:2026-09-01
10	10-wrong-key	A server could send a correct certificate chain and sign the handshake with the wrong key, or not sign it at all	Langley 22 Feb 2014 para 5; CVE-2014-1266 '(1) using an arbitrary private key ... or (2) omitting the signing step'	checked-by:fable:2026-09-01
10	10-nss-unaffected	Everything using SecureTransport was affected; Chrome and Firefox were not because they use NSS	Langley 22 Feb 2014 para 6	checked-by:fable:2026-09-01
10	10-attacker-chooses	TLS 1.2 used a different function and RSA-only suites have no ServerKeyExchange, but the attacker chooses the version and the suite	Langley 22 Feb 2014 paras 8-9	checked-by:fable:2026-09-01
10	10-pinning	Certificate pinning would not have stopped it because the chain was correct and the broken link was handshake-to-chain	Langley 22 Feb 2014 para 8	checked-by:fable:2026-09-01
10	10-ios6-affected	iOS 6.x before 6.1.6 was affected (bug present in at least some iOS 6 versions)	CVE-2014-1266 description; Apple HT6146; Langley update para	checked-by:fable:2026-09-01
10	10-wall-silent	With -Wall, neither GCC 4.8.2 nor Clang 3.3 warned about the dead code; clang has -Wunreachable-code but it is not in -Wall	Langley 22 Feb 2014, 'Here's a stripped down' paragraph and the following one	checked-by:fable:2026-09-01
10	10-gcc-unreachable-noop	gcc 4.8.3 accepts -Wunreachable-code and does nothing, without warning that it does nothing (Wheeler's own test)	Wheeler, 'The Apple goto fail vulnerability: lessons learned', section on dead-code warnings; retellings.txt	checked-by:fable:2026-09-01
10	10-apple-no-account	Apple published no account of how the duplicate line entered the file; Wheeler found no data on why	Apple HT6146/6147/6150 (two sentences only); Wheeler: 'I have not found any data on why the line was duplicated'	checked-by:fable:2026-09-01
10	10-langley-test-site	Langley set up a test server on port 1266 sending the right certificates but signing with a different key	Langley 22 Feb 2014 para 7	checked-by:fable:2026-09-01
10	10-langley-testcase	Langley: 'A test case could have caught this, but it's difficult because it's so deep into the handshake. One needs to write a completely separate TLS stack'; code review 'can be effective'	Langley 22 Feb 2014, last four paragraphs	checked-by:fable:2026-09-01
10	10-cs-window	Released 19 July 2024 04:09 UTC; reverted 05:27 UTC; Windows hosts on sensor 7.11 and above online in that window; Mac and Linux not impacted	CrowdStrike PIR, 'What Happened?'	checked-by:fable:2026-09-01
10	10-cs-not-cyberattack	Kurtz, 19 July 2024: 'The outage was caused by a defect found in a Falcon content update for Windows hosts. Mac and Linux hosts are not impacted. This was not a cyberattack.'	CrowdStrike Remediation and Guidance Hub, statement sent 2024-07-19 19:30 UTC	checked-by:fable:2026-09-01
10	10-cs-no-protection-impact	Kurtz, 19 July 2024: 'There is no impact to any protection if the Falcon sensor is installed.'	same statement	checked-by:fable:2026-09-01
10	10-ms-85m	Microsoft: 'We currently estimate that CrowdStrike's update affected 8.5 million Windows devices, or less than one percent of all Windows machines.'	Weston, Official Microsoft Blog, 20 July 2024	checked-by:fable:2026-09-01
10	10-ms-not-ms-incident	Microsoft: 'this was not a Microsoft incident'	Weston, 20 July 2024, para 1	checked-by:fable:2026-09-01
10	10-cs-two-content-types	Two delivery paths: Sensor Content (shipped with the sensor) and Rapid Response Content (cloud-delivered configuration, 'not code or a kernel driver'), delivered as Template Instances of a Template Type via Channel Files	CrowdStrike PIR, 'What Went Wrong and Why?', 'Sensor Content', 'Rapid Response Content'	checked-by:fable:2026-09-01
10	10-cs-sensor-control	Customers select sensor version N, N-1 or N-2 through Sensor Update Policies; 'Customers have complete control over the deployment of the sensor'	CrowdStrike PIR, 'Sensor Content'	checked-by:fable:2026-09-01
10	10-cs-ipc-timeline	Sensor 7.11 GA 28 Feb 2024 with the new IPC Template Type; stress test 5 Mar 2024; first IPC instance released 5 Mar; three more 8-24 Apr 2024, performed as expected	CrowdStrike PIR, 'Timeline of Events'	checked-by:fable:2026-09-01
10	10-cs-validator-bug	On 19 July two more IPC instances were deployed; 'Due to a bug in the Content Validator, one of the two Template Instances passed validation despite containing problematic content data'	CrowdStrike PIR, 'What Happened on July 19, 2024?'	checked-by:fable:2026-09-01
10	10-cs-oob-bsod	'problematic content in Channel File 291 resulted in an out-of-bounds memory read triggering an exception. This unexpected exception could not be gracefully handled, resulting in a Windows operating system crash (BSOD).'	CrowdStrike PIR, 'What Happened on July 19, 2024?'	checked-by:fable:2026-09-01
10	10-cs-21-vs-20	'The new IPC Template Type defined 21 input parameter fields, but the integration code that invoked the Content Interpreter with Channel File 291's Template Instances supplied only 20 input values'	CrowdStrike RCA p.2	checked-by:fable:2026-09-01
10	10-cs-wildcard	The mismatch went unnoticed 'due to the use of wildcard matching criteria for the 21st input during testing and in the initial IPC Template Instances'	CrowdStrike RCA p.2	checked-by:fable:2026-09-01
10	10-cs-nonwildcard	One 19 July instance 'introduced a non-wildcard matching criterion for the 21st input parameter'; 'At the next IPC notification from the operating system' the read of the 21st value went past the end of the array	CrowdStrike RCA p.2	checked-by:fable:2026-09-01
10	10-cs-confluence	RCA: 'it was the confluence of these issues' (validator 21 vs interpreter 20; latent OOB read; no test for a non-wildcard 21st field); 'this scenario with Channel File 291 is now incapable of recurring'	CrowdStrike RCA p.2	checked-by:fable:2026-09-01
10	10-cs-99pct	'As of July 29 at 5 p.m. PT ... ~99% of Windows sensors are online compared to before the content update'	CrowdStrike RCA p.1; Kurtz 6 Aug 2024 statement	checked-by:fable:2026-09-01
10	10-cs-compile-fix	Sensor Content Compiler patch validating the field count developed 19 July 2024, in production 27 July 2024	CrowdStrike RCA p.3, Finding 1	checked-by:fable:2026-09-01
10	10-cs-bounds-fix	Bounds checking added to the Content Interpreter 25 July 2024; hotfix to all Windows sensors 7.11+ 'generally available by August 9, 2024'; 'This is not an arbitrary memory write issue'; the check 'prevents the Content Interpreter from performing an out-of-bounds access of the input array and crashing the system'	CrowdStrike RCA pp.3-4, Finding 2	checked-by:fable:2026-09-01
10	10-cs-12-tests	Automated testing used 'a static set of 12 test cases' whose channel file 'included a regex wildcard matching criterion in the 21st field for all Template Instances'	CrowdStrike RCA p.4, Finding 3	checked-by:fable:2026-09-01
10	10-cs-validator-fix	Content Validator modified 'to only allow wildcard matching criteria in the 21st field'; further checks by 19 Aug 2024	CrowdStrike RCA p.5, Finding 4	checked-by:fable:2026-09-01
10	10-cs-instance-testing	Finding 5: the validated instance 'did not observe that the mismatched number of inputs would cause a system crash when provided to the Content Interpreter'; new procedures test every Template Instance	CrowdStrike RCA pp.5-6, Finding 5	checked-by:fable:2026-09-01
10	10-cs-staged	Finding 6: staged rollout with canary testing and successive rings; 'Customers can choose where and when Rapid Response Content updates are deployed' (added after the incident)	CrowdStrike RCA p.6, Finding 6	checked-by:fable:2026-09-01
10	10-cs-third-party	'CrowdStrike has engaged two independent third-party software security vendors to conduct further review of the Falcon sensor code'	CrowdStrike RCA p.6	checked-by:fable:2026-09-01
10	10-cs-kernel-driver	csagent.sys is CrowdStrike's file system filter driver, a kernel driver; 'loaded from an early phase of system boot'; WHQL-certified	CrowdStrike RCA p.7 and p.10	checked-by:fable:2026-09-01
10	10-cs-null-check	The code checked the pointer for NULL and then read through it; the 21st slot held a value that 'does not point to valid memory' (index 0x14)	CrowdStrike RCA pp.11-12; Weston 27 July 2024 ('a check for NULL before performing a read')	checked-by:fable:2026-09-01
10	10-bugcheck-text	The bugcheck: 'PAGE_FAULT_IN_NONPAGED_AREA (50) Invalid system memory was referenced. This cannot be protected by try-except.'	CrowdStrike RCA p.9 (WinDbg !analyze -v output)	checked-by:fable:2026-09-01
10	10-ms-kernel-cannot-fail	Microsoft: 'All code operating at kernel level requires extensive validation because it cannot fail and restart like a normal user application.'	Weston, Microsoft Security Blog, 27 July 2024, 'Tamper resistance' section	checked-by:fable:2026-09-01
10	10-ms-kernel-tradeoff	Microsoft: 'Kernel drivers provide the above properties at the cost of resilience.'	Weston, 27 July 2024, same section	checked-by:fable:2026-09-01
10	10-delta-complaint	Delta sued CrowdStrike in Fulton County Superior Court on 25 Oct 2024 (nine counts incl. breach of contract and gross negligence), alleging 'over $500 million in out-of-pocket losses' and approximately 7,000 flight cancellations over five days	Delta v. CrowdStrike complaint, 24CV013621, caption, paras 2 and 48 (ALLEGED)	checked-by:fable:2026-09-01
10	10-delta-tested-claim	Delta alleges: 'If CrowdStrike had tested the Faulty Update on even one computer before deployment, the computer would have crashed.'	Delta complaint para 3 (ALLEGED)	checked-by:fable:2026-09-01
10	10-delta-ruling	On 16 May 2025 the court cut the fraud/misrepresentation counts and let negligence and computer-trespass claims proceed	The Register, 21 May 2025 (PRESS report of the order; the order itself not fetched)	checked-by:fable:2026-09-01
10	10-wp-cs-lede	Wikipedia lede: 'roughly 8.5 million systems crashed'; 'the largest outage in the history of information technology'; 'Within hours, the error was discovered and a fix was released'	Wikipedia, '2024 CrowdStrike-related IT outages', lede; retellings.txt	checked-by:fable:2026-09-01
10	10-wp-unreachable	Wikipedia 'Unreachable code': 'two successive goto fail statements ... The second goto fail is therefore unconditional'	Wikipedia, 'Unreachable code', section 'goto fail bug'; retellings.txt	checked-by:fable:2026-09-01
10	10-ars-single-line	Ars Technica: 'the result of a single line of misplaced code that instructs apps to skip the verification check of the ephemeral key'	Goodin, Ars Technica, 22 Feb 2014; retellings.txt	checked-by:fable:2026-09-01
