# chapter	claim id	claim as made in prose	source	status
03	03-redhat-ubiquity	xz is present in nearly every Linux distribution	Red Hat blog, 29 Mar 2024, "What is xz?" — resources/sources/03/redhat-fedora-alert-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-freund-symptoms	Freund posted 29 Mar 2024 08:51 -0700 after weeks of odd symptoms on Debian sid: ssh logins taking a lot of CPU, valgrind errors	Freund, oss-security 2024/03/29/4, header and opening paragraph — resources/sources/03/freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-freund-timing	ssh login to a non-existent user: 0.299 s before, 0.807 s after	Freund, §Observing Impact on openssh server — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-freund-not-researcher	"I am *not* a security researcher, nor a reverse engineer." (the chapter says only this: not a security researcher by his own description)	Freund, §Analyzing the injected code — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-freund-tarball-only	trigger portion solely in the distributed tarballs; modified m4/build-to-host.m4 carries a line "*not* in the upstream source of build-to-host", nor is build-to-host used by xz in git; present in 5.6.0 and 5.6.1 tarballs but not GitHub's generated archives	Freund, §Compromised Release Tarball — freund-oss-security-2024-03-29.txt; git ls-tree v5.6.0 m4/ and git log --all -- m4/build-to-host.m4 (empty) — xz-git-history.txt, xz-git-tags-and-url-commits.txt	checked-by:fable:2026-09-02
03	03-freund-testfiles	payload in obfuscated form in tests/files/bad-3-corrupt_lzma2.xz and good-large_compressed.lzma, committed upstream, not used by any test in 5.6.0	Freund, §Compromised Repository — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-nvd	CVE-2024-3094 assigned by Red Hat; NVD published 2024-03-29; CVSS 3.1 base 10.0; CWE-506	Freund §Bug reports; NVD record — resources/sources/03/nvd-cve-2024-3094.txt	checked-by:fable:2026-09-02
03	03-jiatan-first-patch	first patch from jiat0218@gmail.com authored 2022-01-28, committed by Lasse Collin 2022-02-07 (6468f7e4)	git show -s 6468f7e4 — xz-git-history.txt; git log --author=jiat0218@gmail.com --reverse | head -3 — xz-git-tags-and-url-commits.txt	checked-by:fable:2026-09-02
03	03-xzdevel-kumar	Jigar Kumar, 7 Jun 2022: "Submitting patches here has no purpose these days. The current maintainer lost interest or doesn't care to maintain anymore."	xz-devel msg00566 — resources/sources/03/xz-devel-2022-06-maintainer-thread.txt	checked-by:fable:2026-09-02
03	03-xzdevel-collin-reply	Collin, 8 Jun 2022: "I haven't lost interest but my ability to care has been fairly limited ... Jia Tan ... perhaps he will have a bigger role in the future ... unpaid hobby project."	xz-devel msg00567 — xz-devel-2022-06-maintainer-thread.txt	checked-by:fable:2026-09-02
03	03-xzdevel-ens	Kumar 14 Jun 2022 "Why wait until 5.4.0 to change maintainer? Why delay what your repo needs?"; Ens 21 Jun 2022 "its important to be aware of your own limits"	xz-devel msg00568, msg00569 — xz-devel-2022-06-maintainer-thread.txt	checked-by:fable:2026-09-02
03	03-xzdevel-comaintainer	Collin, 29 Jun 2022: Jia Tan "has been helping a lot off-list and is practically a co-maintainer already" (within the month of Kumar's 7 Jun email)	xz-devel msg00571 — xz-devel-2022-06-maintainer-thread.txt	checked-by:fable:2026-09-02
03	03-jiatan-first-commit	first commit with Jia Tan as committer dated 2022-12-30 (8ace358d; the first three committer-Jia-Tan commits all carry that committer date)	git log --committer='Jia Tan' --reverse | head -3 — xz-git-tags-and-url-commits.txt; xz-git-history.txt	checked-by:fable:2026-09-02
03	03-tags-jiatan	nine tags v5.4.2 (2023-03-18) through v5.6.1 (2024-03-09) name Jia Tan as tagger, each tag object carrying one PGP signature block (signatures not verified against a key); v5.4.0, v5.4.1, v5.4.7, v5.6.2 tagged by Collin; v5.4.2 is nine months after the 29 Jun 2022 co-maintainer email	git tag --format — xz-git-history.txt; git cat-file tag for v5.4.0..v5.6.2 with tagger and BEGIN PGP SIGNATURE lines, and per-tag signature-block counts — xz-git-tags-and-url-commits.txt	checked-by:fable:2026-09-02
03	03-commit-counts	commits with author date in 2023: 313 authored by Jia Tan, 164 by Collin (501 total)	git log --since/--until --author counts — xz-git-history.txt; re-run 2026-09-02 — xz-git-tags-and-url-commits.txt	checked-by:fable:2026-09-02
03	03-collin-lastcommit	Collin's last commits before the v5.6.0 tag (2024-02-24) are dated 2024-02-22	git log --author='Lasse Collin' --until=2024-02-24 -3 — xz-git-history.txt; xz-git-tags-and-url-commits.txt	checked-by:fable:2026-09-02
03	03-riscv-prep	review notes v1.0 (2024-05-29): "Tests: Add two RISC-V Filter test files" (e2870db5, 2024-01-22) is "the first commit preparing for the backdoor"; the notes flag nothing earlier as backdoor-related	Collin, review notes §2024-01 — resources/sources/03/tukaani-review-notes-excerpts.txt; git show -s e2870db5 — xz-git-history.txt	checked-by:fable:2026-09-02
03	03-url-move	four commits on 2024-01-19 by Jia Tan (22d86192, 6b63c4c6, fce47580, c26812c5) moved project URLs from tukaani.org to xz.tukaani.org; Collin: Jia Tan only had access to things hosted on GitHub, including the xz.tukaani.org subdomain and only that subdomain	git log --grep website and git show --stat/diff for the four commits — xz-git-tags-and-url-commits.txt; tukaani.org statement §Facts — tukaani-xz-backdoor-statement.txt	checked-by:fable:2026-09-02
03	03-gitignore	commit 4323bc3e (2024-02-15) added build-to-host.m4 to m4/.gitignore; review notes: "Modified build-to-host.m4 had the backdoor trigger. Ignoring the file here is correct because it is added among several other .m4 files when running ./autogen.sh or autoreconf -fi."	git show 4323bc3e — xz-git-history.txt; Collin, review notes §2024-02 — tukaani-review-notes-excerpts.txt	checked-by:fable:2026-09-02
03	03-testfiles-commit	cf44e4b7 (2024-02-23) "Tests: Add a few test files": five binary files incl. the two payload carriers; review notes: "Backdoor files."	git show --stat cf44e4b7 — xz-git-history.txt; Collin, review notes §2024-02 — tukaani-review-notes-excerpts.txt	checked-by:fable:2026-09-02
03	03-560-tag	v5.6.0 tag dated 2024-02-24, tagger Jia Tan	git cat-file tag v5.6.0 — xz-git-history.txt	checked-by:fable:2026-09-02
03	03-landlock-sabotage	328c52da (2024-02-26) inserts a line "." into the CMake Landlock check_c_source_compiles snippet; f9cf4c05 (2024-03-30, Collin): "CMake: Fix sabotaged Landlock sandbox check. It never enabled it."; review notes call it sabotage	git show 328c52da -- CMakeLists.txt; git show -s f9cf4c05 — xz-git-history.txt; Collin review notes §2024-02 — tukaani-review-notes-excerpts.txt	checked-by:fable:2026-09-02
03	03-valgrind-commits	commits e5faaebb, 72d2933b (2024-03-05) and 82ecc538 (2024-03-09) presented as ifunc/Valgrind fixes; 6e636819 (2024-03-09) "Tests: Update two test files" replaced the payload files; with the eight reverted commits, the .gitignore change and the Landlock commit this is twelve commits	Freund §Compromised Repository — freund-oss-security-2024-03-29.txt; git show --stat 6e636819 — xz-git-history.txt; Collin review notes §2024-03	checked-by:fable:2026-09-02
03	03-561-tag	v5.6.1 tag dated 2024-03-09, tagger Jia Tan	git cat-file tag v5.6.1 — xz-git-history.txt	checked-by:fable:2026-09-02
03	03-freund-committer	"Given the activity over several weeks, the committer is either directly involved or there was some quite severe compromise of their system. Unfortunately the latter looks like the less likely explanation"	Freund §Compromised Repository — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-debian-dsa	DSA-5649-1: testing, unstable and experimental, versions 5.5.1alpha-0.1 (uploaded 2024-02-01) to 5.6.1-1; "Right now no Debian stable versions are known to be affected" (time-bounded, as the chapter states it); reverted to 5.4.5 code	DSA-5649-1 — resources/sources/03/debian-dsa-5649-1.txt	checked-by:fable:2026-09-02
03	03-redhat	Red Hat 29 Mar: "PLEASE IMMEDIATELY STOP USAGE OF ANY FEDORA RAWHIDE INSTANCES"; 30 Mar update: Fedora 40 beta contains xz-libs-5.6.0-1.fc40 and -2.fc40; "reports and evidence of the injections successfully building" for Debian sid	Red Hat blog — resources/sources/03/redhat-fedora-alert-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-opensuse	openSUSE: Tumbleweed and MicroOS included 5.6.0 between March 7 and March 28; users with SSH exposed advised to install fresh "as it's unknown if the backdoor has been exploited"	openSUSE News 29 Mar 2024 — resources/sources/03/opensuse-news-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-collin-access	Collin statement: 5.6.0 and 5.6.1 tarballs "were created and signed by Jia Tan"; only Collin had access to tukaani.org and git.tukaani.org; Jia Tan only GitHub-hosted things; xz@tukaani.org forwarding to Jia Tan ended 2024-03-30	tukaani.org/xz-backdoor §Facts — resources/sources/03/tukaani-xz-backdoor-statement.txt	checked-by:fable:2026-09-02
03	03-removal-commit	e93e13c8 (2024-04-08, Collin) "Remove the backdoor found in 5.6.0 and 5.6.1 (CVE-2024-3094)" reverts eight listed commits; "The maintainer who added the backdoor has disappeared."	git show --stat e93e13c8 — xz-git-history.txt	checked-by:fable:2026-09-02
03	03-ifunc-removed	5.4.7 and 5.6.2 released 2024-05-29; NEWS 5.6.2: IFUNC support removed, "*NOT* done for security reasons"	git tag dates; git show v5.6.2:NEWS — xz-git-history.txt; tukaani.org statement — tukaani-xz-backdoor-statement.txt	checked-by:fable:2026-09-02
03	03-no-attribution	the documents collected for this chapter (SOURCES.md, fetched 2026-09-01/02) contain no charge and no attribution of the account to a person or a state; Collin's statement uses the name "Jia Tan" only; WIRED's title calls the identity a mystery and its text says who they worked for is a question; Wikipedia §Background reports only suggestions by named commentators. Stated in the chapter as a dated limit of the corpus, not as a fact about the world	SOURCES.md §Could not fetch / not used; tukaani-xz-backdoor-statement.txt §Facts; retellings-quoted-sentences.txt (WIRED); wikipedia-xz-utils-backdoor-2026-09-02.txt §Background	checked-by:fable:2026-09-02
03	03-freund-configure	modified macro "injects an obfuscated script to be executed at the end of configure" which "if some preconditions match, modifies $builddir/src/liblzma/Makefile"	Freund §Compromised Release Tarball — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-freund-makefile	the Makefile fragment (am__test = bad-3-corrupt_lzma2.xz ... sed rpath ...) expands to a pipeline: sed | tr | xz -d | /bin/bash	Freund §Compromised Release Tarball (quoted verbatim) — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-nvd-description	NVD: the build "extracts a prebuilt object file from a disguised test file existing in the source code, which is then used to modify specific functions in the liblzma code"	NVD record description — nvd-cve-2024-3094.txt	checked-by:fable:2026-09-02
03	03-freund-ifunc	backdoor replaces the crc32/crc64 ifunc resolvers; when argv[0] is /usr/sbin/sshd it redirects the RSA_public_decrypt PLT entry to its own code	Freund §Analyzing the injected code, §Impact on sshd — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
