# chapter	claim id	one-line claim as made in prose	source (URL or citation with page/section)	status
09	09-lede-evaluated	Mulligan said Target then believed some unspecified intruder activity was detected, logged, surfaced to the SOC, and evaluated; he did not identify it as the reported FireEye alerts.	John J. Mulligan prepared Senate statement, p. 3; Senate Commerce staff report, pp. 4–5, 10; https://www.commerce.senate.gov/services/files/C2103BD3-8C40-42C3-973B-BD08C7DE45EF	checked-by:codex:2026-09-03
09	09-entry-date	Mulligan's testimony said intruders appeared to enter Target's system on November 12, 2013.	John J. Mulligan prepared Senate statement, pp. 2–4; https://www.commerce.senate.gov/services/files/C2103BD3-8C40-42C3-973B-BD08C7DE45EF	checked-by:codex:2026-09-03
09	09-hvac-entry	Krebs foregrounded the HVAC company; the Senate staff report said the attackers reportedly used credentials stolen from Fazio Mechanical Services.	KrebsOnSecurity headline; Senate Commerce staff report, pp. 4–5; https://www.commerce.senate.gov/wp-content/uploads/media/doc/2014%200325%20Target%20Kill%20Chain%20Analysis.pdf	checked-by:codex:2026-09-03
09	09-soc-volume	Mulligan said Target logged over one billion daily activities, surfaced a few hundred events, and opened dozens of cases.	John J. Mulligan prepared Senate statement, pp. 2–4; https://www.commerce.senate.gov/services/files/C2103BD3-8C40-42C3-973B-BD08C7DE45EF	checked-by:codex:2026-09-03
09	09-detected-evaluated	Mulligan said Target then believed some intruder activity was logged, surfaced, and evaluated, without identifying it as the reported FireEye alerts.	John J. Mulligan prepared Senate statement, p. 3; https://www.commerce.senate.gov/services/files/C2103BD3-8C40-42C3-973B-BD08C7DE45EF	checked-by:codex:2026-09-03
09	09-testimony-gaps	Mulligan's statement does not identify the activity, evaluator, context, disposition, or action, so it cannot connect the unspecified activity to the reported FireEye alerts.	John J. Mulligan prepared Senate statement, p. 3; Senate Commerce staff report, pp. 4–5, 10; https://www.commerce.senate.gov/services/files/C2103BD3-8C40-42C3-973B-BD08C7DE45EF	checked-by:codex:2026-09-03
09	09-fireeye-account	The Senate report attributes to Businessweek urgent FireEye alerts, non-reaction, disabled automatic deletion, and a generic malware label.	Senate Commerce staff report, pp. 4–5, 10; https://www.commerce.senate.gov/wp-content/uploads/media/doc/2014%200325%20Target%20Kill%20Chain%20Analysis.pdf	checked-by:codex:2026-09-03
09	09-report-status	The Senate staff report says its reconstruction rests on published reports and analyses and may precede the complete forensic story.	Senate Commerce staff report, p. 1; https://www.commerce.senate.gov/wp-content/uploads/media/doc/2014%200325%20Target%20Kill%20Chain%20Analysis.pdf	checked-by:codex:2026-09-03
09	09-other-signals	The Senate report says Symantec detected behavior around November 28 and reportedly says FireEye decoded destination servers.	Senate Commerce staff report, pp. 4–5, 12; https://www.commerce.senate.gov/wp-content/uploads/media/doc/2014%200325%20Target%20Kill%20Chain%20Analysis.pdf	checked-by:codex:2026-09-03
09	09-prevention-claim	CBS applies possible preventability to the whole attack, while the Senate report discusses possibly blocking the malware's effect and Mulligan discusses possibly different outcomes.	CBS News quoted sentence; Senate Commerce staff report, p. 10; Mulligan prepared statement, p. 3; https://www.cbsnews.com/news/target-ignored-systems-hacking-warnings-report-says/	checked-by:codex:2026-09-03
