# chapter	claim id	claim as made in prose	source	status
# Sources live in resources/sources/01/ (SOURCES.md). Complaint = United States v. Thompson, MJ19-0344, Doc. 1 (allegations). CA9 = 9th Cir. No. 22-30179 (2025-03-17). OCC = Consent Order #2020-036. Judgment 2025 = W.D. Wash. 2:19-cr-00159-RSL Doc. 462 (2025-10-29).
01	01-arrest	FBI arrested Thompson on 29 July 2019; search warrant executed that day; devices referencing Capital One seized	Complaint ¶¶26–27 (p. 12); DOJ arrest release 2019-07-29 (resources/sources/01/doj-arrest.txt)	checked-by:fable:2026-09-01
01	01-april21-file	The GitHub gist timestamped 21 April 2019 contained a server IP address, code for three commands, and a list of more than 700 buckets	Complaint ¶¶10–11 (p. 6)	checked-by:fable:2026-09-01
01	01-doj-firewall	DOJ arrest release: "The intrusion occurred through a misconfigured web application firewall that enabled access to the data"	https://www.justice.gov/usao-wdwa/pr/seattle-tech-worker-arrested-data-theft-involving-large-financial-services-company (doj-arrest.txt)	checked-by:fable:2026-09-01
01	01-wiki-folk	Wikipedia: Thompson "had previously worked as a software engineer for Amazon Web Services"; "about 140,000 Social Security numbers"; 106 million people	Wikipedia, "Capital One", § July 2019 data breach, fetched 2026-09-01 (wikipedia-capital-one.txt)	checked-by:fable:2026-09-01
01	01-krebs-folk	Krebs 2 Aug 2019, citing a source: misconfigured open-source WAF; SSRF attack relaying to the metadata service; role "allowed to list all of the files in any buckets of data, and to read the contents of each of those files"	https://krebsonsecurity.com/2019/08/what-we-can-learn-from-the-capital-one-hack/ (krebs-2019-08.txt)	checked-by:fable:2026-09-01
01	01-complaint-what	The complaint was sworn by FBI SA Joel Martini on 27 July 2019 and filed 29 July; it names the provider only as "the Cloud Computing Company"	Complaint ¶1–2 (p. 2), p. 12 (jurat), header "Filed 07/29/19"	checked-by:fable:2026-09-01
01	01-firewall-misconfig	Complaint: "A firewall misconfiguration permitted commands to reach and be executed by that server, which enabled access to folders or buckets of data in Capital One's storage space at the Cloud Computing Company"	Complaint ¶10 (p. 6)	checked-by:fable:2026-09-01
01	01-complaint-no-ssrf	The words SSRF, metadata, Amazon and AWS do not appear in the complaint	Complaint, all 12 pp. (OCR'd text searched; complaint-ocr-raw.txt and complaint.txt)	checked-by:fable:2026-09-01
01	01-march12	On or about 12 March 2019 an IP address controlled by IPredator (Swedish VPN provider) attempted to access Capital One's data	Complaint ¶13 first bullet (p. 7); ¶6(b) (p. 4) for IPredator/Sweden	checked-by:fable:2026-09-01
01	01-march22	On or about 22 March 2019 the *****-WAF-Role account executed List Buckets several times from believed Tor exit nodes and Sync a number of times, obtaining files containing credit card application data	Complaint ¶13 second and third bullets (p. 7)	checked-by:fable:2026-09-01
01	01-role-not-ordinary	"According to Capital One, the *****-WAF-Role account does not, in the ordinary course of business, invoke the List Buckets Command"	Complaint ¶13 second bullet (p. 7)	checked-by:fable:2026-09-01
01	01-april21	A List Buckets call ran on 21 April 2019 from an IPredator address; its timestamp matches the gist; the gist address included Thompson's full name	Complaint ¶13 last bullet (p. 8); ¶9 (p. 6); ¶12 (p. 7)	checked-by:fable:2026-09-01
