# chapter	claim id	claim as made in prose	source	status
# Sources and fetch notes live in resources/sources/06/SOURCES.md.
06	06-robb-two-year-window	Strava's updated Global Heatmap visualized two years of trailing exercise data from athletes worldwide	Robb, "Building the Global Heatmap", Strava Engineering, 2017-11-01 (strava-building-heatmap.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-robb-heatmap-scale	The dataset comprised 700 million activities, 1.4 trillion lat/long points, 7.7 trillion rasterized pixels, and 5 terabytes of raw data	Robb, "Building the Global Heatmap", Strava Engineering, 2017-11-01 (strava-building-heatmap.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-robb-public-activities	The heatmap only contained public activities and respected all user privacy settings	Robb, "Building the Global Heatmap", Strava Engineering, 2017-11-01 (strava-building-heatmap.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-robb-speed-filtering	Filters removed unreasonable running speeds and used higher speed ceilings to exclude cars and planes	Robb, "Building the Global Heatmap", Strava Engineering, 2017-11-01 (strava-building-heatmap.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-ruser-discovery	Nathan Ruser observed that commercial fitness trackers were practically nonexistent among local populations in remote combat theaters	Coons-Flake letter, 2018-02-14 (coons-flake-letter.txt); Hassan et al., USENIX 2018, §7.1 (hassan-fitness-trackers.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-guardian-folk	The Guardian published a headline claiming Strava gave away the location of secret US army bases	The Guardian, 2018-01-28 (guardian-folk.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-wikipedia-folk	Wikipedia recorded that in January 2018 an Australian student discovered the map had mapped military bases in Syria, Afghanistan, and HMNB Clyde	Wikipedia, "Strava", §Military breaches (wikipedia-folk.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-data-science-context-folk	Baumer et al. wrote that Strava did nothing wrong and displayed anonymized tracks for opted-in users	Baumer et al., Data Science in Context, Cambridge Univ. Press, 2022, p. 134 (data-science-context-folk.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-quarles-opt-out	Quarles emphasized that Strava respected privacy selections, including an existing ability to opt out of heatmaps altogether	Quarles, "A Letter to the Strava Community", 2018-01-29 (strava-letter.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-quarles-community-letter	Quarles acknowledged that military personnel and aid workers abroad had inadvertently increased awareness of sensitive locations	Quarles, "A Letter to the Strava Community", 2018-01-29 (strava-letter.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-quarles-action-items	Strava pledged to work with officials, review motivational features, increase privacy awareness, and simplify controls	Quarles, "A Letter to the Strava Community", 2018-01-29 (strava-letter.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-coons-flake-letter	Senators Coons and Flake pressed Strava, stating consumers were confused by opt-outs and data could be cross-referenced	Coons and Flake letter to Strava CEO, 2018-02-14 (coons-flake-letter.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-strava-updates-march	Strava shifted the heatmap to a monthly refresh schedule to remove opted-out contributions at the next update	Strava, "Heatmap Updates", 2018-03-13 (strava-heatmap-updates.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-strava-threshold	Strava required several different athletes before showing heat on low-activity roads and trails	Strava, "Heatmap Updates", 2018-03-13 (strava-heatmap-updates.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-strava-street-zoom	Strava restricted street-level zoom details on the public heatmap to registered, authenticated users	Strava, "Heatmap Updates", 2018-03-13 (strava-heatmap-updates.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-robb-rasterization-paths	Strava drew activities as pixel-perfect paths connecting subsequent points at 2-meter resolution instead of single pixels	Robb, "Building the Global Heatmap", Strava Engineering, 2017-11-01 (strava-building-heatmap.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-robb-cdf-normalization	Strava normalized raw heat counts using the cumulative distribution function to equalize pixel counts per color bucket	Robb, "Building the Global Heatmap", Strava Engineering, 2017-11-01 (strava-building-heatmap.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-robb-local-contrast	Strava noted CDF normalization maximized relative contrast locally, so identical colors did not represent identical activity counts globally	Robb, "Building the Global Heatmap", Strava Engineering, 2017-11-01 (strava-building-heatmap.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-hassan-background-sparsity	Hassan et al. established that background noise sparsity in remote regions caused the heatmap to leak sensitive sites and patrol routes	Hassan et al., USENIX Security 2018, §7.1 (hassan-fitness-trackers.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-hassan-no-direct-id-leak	Hassan et al. documented that the identities of specific athletes were not directly leaked within the heatmap itself	Hassan et al., USENIX Security 2018, §7.1 (hassan-fitness-trackers.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-hassan-segment-spoofing	Hassan et al. showed athlete re-identification required separate attacks like uploading spoofed GPS activities to segment leaderboards	Hassan et al., USENIX Security 2018, §7.1 (hassan-fitness-trackers.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-ars-folk	Ars Technica published a headline reporting the Pentagon told troops to turn off fitness tracker GPS in warzones	Ars Technica, 2018-08-07 (ars-folk.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-dod-memo-prohibition	Deputy Secretary Shanahan's memorandum prohibited personnel from using geolocation features and functionality in operational areas	DoD Memorandum, 2018-08-03, p. 1 (dod-geolocation-memo.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-dod-memo-non-gov-survey	Combatant Commanders could authorize geolocation on non-government devices in operational areas after an OPSEC survey under Directive 5205.02E	DoD Memorandum, 2018-08-03, p. 1 (dod-geolocation-memo.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-dod-memo-gov-issued	Commanders could authorize geolocation on government-issued devices in operational areas based on mission necessity considering OPSEC risks	DoD Memorandum, 2018-08-03, p. 1 (dod-geolocation-memo.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-dod-memo-tiered-framework	Outside operational areas, DoD component heads were instructed to consider risks and apply a tiered location sensitivity framework	DoD Memorandum, 2018-08-03, p. 1 (dod-geolocation-memo.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
06	06-gao-iot-warning	GAO reported DoD's 2016 policy warned that aggregated IoT data could inform adversaries about unit capabilities, deployments, or overtime	GAO-17-668, July 2017, p. 14 (gao-17-668.txt)	checked-by:agy-gemini-3.8-flash:2026-09-03
