# chapter	claim id	claim as made in prose	source	status
# Chapter 0 quotes the OWASP Introduction (resources/owasp/0x00_2025-Introduction.txt, which carries the Methodology; 0x10_2025-Methodology.txt is a saved 404) and the ten chapters of this book.
00	00-2-8-million	Contributors donated data for over 2.8 million applications	0x00, Thank you to our data contributors	checked-by:fable:2026-09-03
00	00-248-of-968	248 CWEs within the 10 categories; 968 in the MITRE dictionary; cap of 40 per category	0x00, How the categories are structured	checked-by:fable:2026-09-03
00	00-589	From ~30 CWEs in 2017 to almost 400 in 2021 to 589 in this edition	0x00, How the categories are structured	checked-by:fable:2026-09-03
00	00-a03-survey	A03 was overwhelmingly voted a top concern; fewest occurrences in data but highest average exploit and impact	0x00, What's changed, A03	checked-by:fable:2026-09-03
00	00-a09-survey	A09 will always be underrepresented in the data and was voted in from the survey	0x00, What's changed, A09	checked-by:fable:2026-09-03
00	00-alerting-rename	A09 renamed to emphasise alerting; great logging with no alerting is of minimal value	0x00, What's changed, A09	checked-by:fable:2026-09-03
00	00-automated-limit	Results are largely limited to what the industry can test in an automated fashion	0x00, Why we use a community survey	checked-by:fable:2026-09-03
00	00-boundaries-in-chapters	The repeated Capital One reconstruction uses SSRF but the primary record confirms only firewall misconfiguration; MOVEit input arrived via session state; CrowdStrike's fault was an out-of-bounds read not listed under A10	chapters/01-broken-access-control.html mechanism and ledger row 1; chapters/05-moveit.html break; chapters/10-goto-fail-crowdstrike.html mechanism	checked-by:codex:2026-09-03
00	00-contributors	Twelve named contributors (Accenture Prague, Bugcrowd, Contrast Security, CryptoNet Labs, Intuitor SoftTech, Orca Security, Probely, Semgrep, Sonar, usd AG, Veracode, Wallarm) plus anonymous donors	0x00, Thank you to our data contributors (12 named entries plus "Anonymous (multiple)")	checked-by:fable:2026-09-03
00	00-cve-scores	~175k CVE records mapped to CWEs; exploit/impact averaged from CVSS v2 and v3; v4 does not easily provide the same subscores	0x02, How the data is used for selecting categories and ranking them	checked-by:codex:2026-09-03
00	00-data-informed	The list is data-informed, not blindly data-driven	0x00, Methodology	checked-by:fable:2026-09-03
00	00-defense-thin	Vendors published designs without outcomes: IMDSv2 (1), 3.6 default (2), CrowdStrike reviews (10), Strava threshold (6)	chapters 01, 02, 06, 10 defense sections	checked-by:fable:2026-09-03
00	00-eighth	The 2025 edition is the 8th installment	0x00 Introduction, opening	checked-by:fable:2026-09-03
00	00-had-to-stop	The authors say they had to stop grouping at some point	0x00, How the categories are structured	checked-by:fable:2026-09-03
00	00-injection-range	Injection ranges from XSS (high frequency/low impact) to SQL injection (low frequency/high impact)	0x00, What's changed, A05	checked-by:fable:2026-09-03
00	00-looking-into-past	Data is looking into the past; some risks may never be testable	0x00, Methodology	checked-by:fable:2026-09-03
00	00-manual-vs-auto	Manual testers list a weakness once, automated frameworks list every instance	0x00, How the categories are structured	checked-by:fable:2026-09-03
00	00-missing-rhyme	MISSING rows: Adobe backup (4), Maersk synchronised controllers (8), xz tarball (3), MongoDB package default (2), Target evaluated alerts (9)	chapters 02, 03, 04, 08, 09 ledgers and ledes	checked-by:fable:2026-09-03
00	00-movements	A02 up from #5 to #2; A04 #2 to #4; A05 #3 to #5; A06 #4 to #6	0x00, What's changed	checked-by:fable:2026-09-03
00	00-new-and-expanded	A03 expands A06:2021; A10 is new for 2025	0x00, What's changed, A03 and A10	checked-by:fable:2026-09-03
00	00-open-rhyme	OPEN rows on the first step: Capital One SSRF (1), Colonial password source (7), Apple line origin (10), Target evaluators (9)	chapters 01, 07, 09, 10 ledgers	checked-by:fable:2026-09-03
00	00-overlap	Ten categories without overlap is basically impossible	0x00, What's changed	checked-by:fable:2026-09-03
00	00-prevalence	Incidence is calculated for each CWE as the share of a contributor's tested applications vulnerable to it; repeated instances within an application are ignored	0x02, How the data is used for selecting categories and ranking them; 0x00, How the categories are structured	checked-by:codex:2026-09-03
00	00-risk-factors	Incidence is per CWE within a contributor's tested population; coverage is the share tested for that CWE across contributors	0x02, How the data is used for selecting categories and ranking them	checked-by:codex:2026-09-03
00	00-risk-formula	The 2025 risk score combines maximum incidence, maximum coverage, average exploit, average impact and total occurrences with stated weights	0x02, How the data is used for selecting categories and ranking them	checked-by:codex:2026-09-03
00	00-ssrf-rolled	SSRF rolled into A01	0x00, What's changed, A01	checked-by:fable:2026-09-03
