# chapter	claim id	claim as made in prose	source	status
# Sources and fetch notes live in resources/sources/07/SOURCES.md. House = CHRG-117hhrg45085; Senate = S. Hrg. 117-429 / CHRG-117shrg46569.
07	07-blount-legacy-profile	Blount testified that Colonial believed the attacker exploited a legacy VPN profile not intended to be in use	Senate hearing, Blount oral statement, transcript lines 364–376 (senate-hearing-2021-06-08.txt)	checked-by:codex:2026-09-03
07	07-blount-pen-testing	Blount said Colonial could not see the legacy VPN and it did not show up in penetration testing; the public record does not explain why	Senate hearing, Hassan/Blount, transcript lines 1118–1140 (senate-hearing-2021-06-08.txt)	checked-by:codex:2026-09-03
07	07-blount-ransom	DOJ put the approximately 75-bitcoin payment on 8 May; Peters said Blount had affirmed a $4.4 million ransom payment, and Blount described choosing to pay	DOJ press release 2021-06-07 (doj-seizure-2021-06-07.txt); Senate hearing, Peters/Blount, transcript lines 534–546 and PDF text lines 514–526 (senate-hearing-2021-06-08.txt)	checked-by:codex:2026-09-03
07	07-blount-ransom-note	Colonial found a ransom note in its IT network just before 5 a.m. on 7 May; an operations supervisor ordered the shutdown, begun about 5:55 and complete across 5,500 miles by 6:10	Blount prepared statement §§II, IV, Senate Appendix pp. 42–46 (blount-senate-testimony.txt)	checked-by:codex:2026-09-03
07	07-blount-restart	Colonial began returning its pipelines to service on Wednesday evening, 12 May	Blount prepared statement §IV, Senate Appendix pp. 42–46 (blount-senate-testimony.txt)	checked-by:codex:2026-09-03
07	07-blount-share-mandiant	Blount said Colonial was ready to share the results of its Mandiant-supported review with the Senate committee and that similar legacy assets were not unusual; no public results are in the gathered record	Senate hearing, Ossoff/Blount, transcript lines 1692–1702 and PDF text lines 1615–1627; source inventory in SOURCES.md (senate-hearing-2021-06-08.txt)	checked-by:codex:2026-09-03
07	07-blount-single-factor	Blount said the particular legacy VPN used single-factor authentication and a complicated password, while Colonial's normal remote access used an RSA token	Senate hearing, Portman/Blount, transcript lines 674–700 (senate-hearing-2021-06-08.txt)	checked-by:codex:2026-09-03
07	07-blount-still-determining	Blount's statement said the credential source was still under investigation, the legacy profile was shut down, additional protections were implemented, and Dragos and Black Hills specialists were engaged	Blount prepared statement §V, Senate Appendix pp. 42–46 (blount-senate-testimony.txt; also House transcript lines 984–998)	checked-by:codex:2026-09-03
07	07-blount-tsa-review	Colonial had not yet taken up TSA's offered VADR review; Blount said it was scheduled for late July and probably would not have found the legacy VPN because it was questionnaire-based	Senate hearing, Hawley/Blount, PDF text lines 1423–1454 and transcript lines 1508–1520 (senate-hearing-2021-06-08.txt)	checked-by:codex:2026-09-03
07	07-blount-why-shutdown	Blount said Colonial shut down to contain the attack and protect OT because it did not yet know the attack's origin or scope	Blount prepared statement §§II, IV, Senate Appendix pp. 42–46 (blount-senate-testimony.txt)	checked-by:codex:2026-09-03
07	07-carmakal-engaged	Mandiant had not previously advised Colonial and was engaged by Hunton Andrews Kurth on Colonial's behalf early on 7 May 2021	House hearing, Carmakal prepared statement, transcript lines 1192–1215 (house-hearing-2021-06-09.txt)	checked-by:codex:2026-09-03
