# chapter	claim id	claim as made in prose	source	status
# Sources live in resources/sources/02/ (SOURCES.md). JIRA = jira.mongodb.org; commit = mongodb/mongo 60636b4d3ae6; vendor posts read from Wayback captures (see SOURCES.md). 3.6 GA date from the r3.6.0 tag and the announce list (2026-09-03).
02	02-gevers-first	On 27 December 2016 Victor Gevers (Project 366, GDI Foundation) found a MongoDB server "left open to external connections and without a password on the admin account"; "instead of looking at the database's content, a collection of tables, Gevers found only one table, named 'WARNING'" (Bleeping's wording; Gevers's own log line: "the new database with tablename WARNING was created"); logs showed an export followed by creation of the WARNING database; "This is not ransomware. Database does not get encrypted. It only gets replaced."; the owner restored from a backup taken just before	Bleeping Computer, 3 Jan 2017 (bleeping-2017-01-03.txt)	checked-by:fable:2026-09-03
02	02-ransom-note	The ransom note read "SEND 0.2 BTC TO THIS ADDRESS … AND CONTACT THIS EMAIL WITH YOUR IP OF YOUR SERVER TO RECOVER YOUR DATABASE !" (bitcoin address and e-mail elided)	Bleeping Computer, 3 Jan 2017, reproduced document (bleeping-2017-01-03.txt)	checked-by:fable:2026-09-03
02	02-pkg-default-2014	SERVER-4216 (Debian package listens on all interfaces by default) was closed 8 April 2014 with fix version 2.6.0-rc0; MongoDB 2.6 release notes are dated April 8, 2014	JIRA SERVER-4216 (jira-server-4216.txt); docs source release-notes/2.6.txt header (release-notes-3.6-and-2.6-bind.txt)	checked-by:fable:2026-09-02
02	02-folk-krebs	Krebs, 10 Jan 2017: "If installed on a server with the default settings, for example, MongoDB allows anyone to browse the databases, download them, or even write over them and delete them"; the post carries a 1:55 p.m. update "Clarified the default settings of a MongoDB installation"	Krebs on Security, 10 Jan 2017, Wayback capture 2017-01-11 (krebs-2017-01-10.txt)	checked-by:fable:2026-09-02
02	02-folk-register	The Register, 9 Jan 2017: "MongoDB security is a known problem: up until recently, the software's default configuration is insecure"	The Register, 9 Jan 2017 (register-2017-01-09.txt)	checked-by:fable:2026-09-02
02	02-folk-wikipedia	Wikipedia § Security: "Because of MongoDB's default security configuration, which allows any user full access to the database, data from tens of thousands of MongoDB installations has been stolen"	Wikipedia, "MongoDB" § Security, as read 2026-09-02 (wikipedia-mongodb-security.txt)	checked-by:fable:2026-09-02
02	02-folk-tnw	The Next Web, 8 Nov 2017: headline "MongoDB 3.6 comes hardened against database ransomware by default"; "Thankfully, that won't be an issue any more, as of MongoDB 3.6"; MongoDB "will no longer come with an unsafe configuration out of the box"; "Release candidates of the latest version of MongoDB have already been floated. The final release is expected at some point in December."	The Next Web, 8 Nov 2017 (tnw-2017-11-08.txt)	checked-by:fable:2026-09-03
02	02-matherly-1800	Bleeping's 4 Jan 2017 update: per John Matherly, founder of Shodan, "just over 1,800 MongoDB databases that appear to have been infected"; per Blockchain.info at least eleven MongoDB owners had paid the 0.2 BTC ransom	Bleeping Computer, 3 Jan 2017, updated 4 Jan (bleeping-2017-01-03.txt)	checked-by:fable:2026-09-03
02	02-gevers-78	Gevers: "The most open and vulnerable MongoDBs can be found on the AWS platform"; "About 78% of all these hosts were running known vulnerable versions"; Bleeping: MongoDB, Inc. "has fixed this issue a few months later, but companies keep using the outdated versions, in most cases, because those versions were the default MongoDB images on AWS and other cloud hosting services"	Bleeping Computer, 3 Jan 2017 (bleeping-2017-01-03.txt)	checked-by:fable:2026-09-03
02	02-nilsson-jan	Andreas Nilsson, MongoDB blog, 6 Jan 2017: "These attacks are preventable with the extensive security protections built into MongoDB. You need to use these features correctly"; "The most popular installer for MongoDB (RPM) limits network access to localhost by default. Use this configuration too if you're installing via another means."; "the attacker has dropped databases and/or collections and replaced them with a new one with a ransom demand"; "assume that the attacker has a copy of all data"; Cloud Manager alerts "to detect if their deployment is internet exposed"	MongoDB blog, 6 Jan 2017, Wayback capture 2017-01-15 (nilsson-2017-01-06.txt)	checked-by:fable:2026-09-03
02	02-bleeping-jan7	Bleeping, 7 Jan 2017: attacks since 20 December; "Two days ago there were only three groups, now there are eight"; Merrigan tweet 6 Jan: 10.5K servers; "about 25% of all MongoDB databases accessible via the Internet"; groups "re-hacking the same servers and rewriting each other ransom notes"; Gevers in 84 cases found no "trace of data exfiltration"; Merrigan: "Right now it's bedlem … attackers are deleting each others' ransoms as quick as they pop up"; update 9 Jan: ~10,000 to ~28,000	Bleeping Computer, 7 Jan 2017, updated 9 Jan (bleeping-2017-01-07.txt)	checked-by:fable:2026-09-02
